symbol,tier,category,notes
AVGX,2,etf,T-Rex 2x Broadcom bull alt - High leverage (Mega-cap/Institutional Momentum)
MSTZ,2,etf,Defiance 2x MicroStrategy short - High leverage (Mega-cap/Institutional Momentum)
SMST,2,etf,T-Rex 2x MicroStrategy short - High leverage (Mega-cap/Institutional Momentum)
COIN,2,equity,Crypto proxy (Thematic/Sector Momentum)
HOOD,2,equity,Retail options flow (Thematic/Sector Momentum)
PLTR,2,equity,AI narrative (Thematic/Sector Momentum)
CRWD,2,equity,CrowdStrike Holdings (Thematic/Sector Momentum)
NET,2,equity,Cloud momentum (Thematic/Sector Momentum)
QCOM,2,equity,Semiconductors (Thematic/Sector Momentum)
MU,2,equity,Memory cycles (Thematic/Sector Momentum)
SNDK,2,equity,Western Digital - Storage (Thematic/Sector Momentum)
VLN,2,equity,Valens Semiconductor - Connectivity (Thematic/Sector Momentum)
AEHR,2,equity,Aehr Test Systems - Semiconductor test (Thematic/Sector Momentum)
TTMI,2,equity,TTM Technologies - Electronics (Thematic/Sector Momentum)
CEG,2,equity,Energy (Thematic/Sector Momentum)
VST,2,equity,Power generation (Thematic/Sector Momentum)
PWR,2,equity,Infrastructure (Thematic/Sector Momentum)
BLDR,2,equity,Builders FirstSource - Homebuilding (Thematic/Sector Momentum)
BEX,2,equity,Bexon Energy - Energy (Thematic/Sector Momentum)
CEGX,2,equity,Core Energy Group - Energy (Thematic/Sector Momentum)
EQIX,2,equity,Data centers (Thematic/Sector Momentum)
CRWV,2,equity,AI cloud / GPU infrastructure (Thematic/Sector Momentum)
APLD,2,equity,Applied Digital - Data centers (Thematic/Sector Momentum)
NBIS,2,equity,Nebius - Cloud computing (Thematic/Sector Momentum)
NEBX,2,etf,Defiance 2x Nebius bull - High leverage (Thematic/Sector Momentum)
OKLO,2,equity,Nuclear theme (Thematic/Sector Momentum)
KTOS,2,equity,Kratos Defense - Defense (Thematic/Sector Momentum)
RKLB,2,equity,Rocket Lab - Aerospace (Thematic/Sector Momentum)
ASTS,2,equity,Astra Space - Aerospace (Thematic/Sector Momentum)
OPEN,2,equity,Opendoor - Real estate tech (Thematic/Sector Momentum)
RGC,2,equity,Regency Centers - REIT (Thematic/Sector Momentum)
KTUP,2,equity,Kato Group - Specialty (Thematic/Sector Momentum)
LRCU,2,equity,LRC Unlimited - Specialty (Thematic/Sector Momentum)
FLYT,2,equity,Flytech - Specialty (Thematic/Sector Momentum)
CRDU,2,equity,Core Digital - Specialty (Thematic/Sector Momentum)
APLX,2,equity,Apellis Pharmaceuticals - Biotech (Thematic/Sector Momentum)
CGON,2,equity,Compound Genetics - Biotech (Thematic/Sector Momentum)
ASTX,2,equity,Astria Therapeutics - Biotech (Thematic/Sector Momentum)
RVMD,2,equity,Revolution Medicines - Biotech (Thematic/Sector Momentum)
APPX,2,equity,Appex Therapeutics - Biotech (Thematic/Sector Momentum)
OPEX,2,etf,Tradr 2x Opendoor bull - High leverage (Thematic/Sector Momentum)
INTW,2,etf,T-Rex 2x Intel bull - High leverage (Thematic/Sector Momentum)
OKLL,2,etf,Defiance 2x OKLO bull - High leverage (Thematic/Sector Momentum)
CWVX,2,etf,Tradr 2x CoreWeave bull - High leverage (Thematic/Sector Momentum)
NAIL,2,etf,Direxion Homebuilders Bull 3x - High leverage (Thematic/Sector Momentum)
AGQ,2,etf,ProShares Ultra Silver 2x - High leverage (Thematic/Sector Momentum)
DFEN,2,etf,Direxion Daily Aerospace & Defense Bull 3x - High leverage (Thematic/Sector Momentum)
KOLD,2,etf,ProShares UltraShort Natural Gas - Inverse energy (Thematic/Sector Momentum)
SOFI,2,equity,Retail momentum (High-Beta/Retail Volatility)
HIMS,2,equity,Retail momentum (High-Beta/Retail Volatility)
DAL,2,equity,Cyclical (High-Beta/Retail Volatility)
AAL,2,equity,Cyclical (High-Beta/Retail Volatility)
RGTI,2,equity,Speculative (High-Beta/Retail Volatility)
IREN,2,equity,Crypto miner (High-Beta/Retail Volatility)
CIFR,2,equity,Crypto miner (High-Beta/Retail Volatility)
CLSK,2,equity,Crypto miner (High-Beta/Retail Volatility)
WULF,2,equity,Crypto miner (High-Beta/Retail Volatility)
BZH,2,equity,Beazer Homes - Homebuilder (High-Beta/Retail Volatility)
LEN,2,equity,Lennar - Homebuilder (High-Beta/Retail Volatility)
DHI,2,equity,D.R. Horton - Homebuilder (High-Beta/Retail Volatility)
TOL,2,equity,Toll Brothers - Homebuilder (High-Beta/Retail Volatility)
PHM,2,equity,PulteGroup - Homebuilder (High-Beta/Retail Volatility)
WDC,2,equity,Western Digital - Storage (High-Beta/Retail Volatility)
